7.99, 343442.0993953801, -1.0, 1.5768E8, 655.175
7.9910000000000005, 292539.2653150756, -1.0, 1.5768E8, 655.175
7.992000000000001, 229751.82123784834, -1.0, 1.5768E8, 655.175
7.993000000000001, 180801.67326062778, -1.0, 1.5768E8, 655.175
7.9940000000000015, 134174.24662229265, -1.0, 1.5768E8, 655.175
7.995000000000002, 90892.84014894968, -1.0, 1.5768E8, 655.175
7.996000000000002, 53236.01096014719, 9.1818E7, 1.5768E8, 655.175
7.9970000000000026, 27582.09553336081, 9.18096E7, 1.5768E8, 655.175
7.998000000000003, 30217.85824570636, 9.18012E7, 1.5768E8, 655.175
7.999000000000003, 21959.725616179927, 9.17934E7, 1.5768E8, 655.175
8.000000000000004, 22477.47679189048, 9.17862E7, 1.5768E8, 655.175
8.001000000000003, 32514.07543190216, 9.1779E7, 1.5768E8, 655.175
8.002000000000002, 49795.174970478, 9.17724E7, 1.5768E8, 655.175
8.003000000000002, 78680.52861359225, 9.17658E7, 1.5768E8, 655.175
8.004000000000001, 115566.9168619302, -1.0, 1.5768E8, 655.175
8.005, 157491.86990170204, -1.0, 1.5768E8, 655.175
8.006, 196683.71159181627, -1.0, 1.5768E8, 655.175
8.007, 244934.60965752637, -1.0, 1.5768E8, 655.175
8.008, 290574.49529272824, -1.0, 1.5768E8, 655.175
8.008999999999999, 338830.0845617015, -1.0, 1.5768E8, 655.175
8.009999999999998, 389123.3549525364, -1.0, 1.5768E8, 655.175
